GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
proyectoD,uy.edu.curso.services,GestorDeDonantesImpl,0,177,0,12,0,50,0,12,0,6
proyectoD,uy.edu.curso.services,GestorDeOrganosImpl,0,218,0,18,0,66,0,17,0,8
proyectoD,uy.edu.curso.services,LectorDeArchivosCSV,0,166,0,12,0,47,0,9,0,3
proyectoD,uy.edu.curso.services,GestorDeReceptoresImpl,0,265,0,28,0,75,0,22,0,8
proyectoD,uy.edu.curso.services,ConsultorDeCompatibilidadSanguineaImpl,0,143,0,4,0,7,0,5,0,3
proyectoD,uy.edu.curso.services,GestorDeTrasplantesImpl,0,138,0,12,0,40,0,11,0,5
proyectoD,uy.edu.curso.classes,OrganoImpl,0,55,0,2,0,17,0,10,0,9
proyectoD,uy.edu.curso.classes,DonanteImpl,0,8,0,0,0,2,0,1,0,1
proyectoD,uy.edu.curso.classes,Persona,0,49,0,0,0,20,0,10,0,10
proyectoD,uy.edu.curso.classes,TrasplanteImpl,0,48,0,0,0,15,0,7,0,7
proyectoD,uy.edu.curso.classes,ReceptorImpl,0,18,0,0,0,6,0,3,0,3
proyectoD,uy.edu.curso.facade,BioQueueFacade,0,210,0,8,0,55,0,27,0,23
proyectoD,uy.edu.curso,ListaEnlazada,0,338,0,64,0,109,0,46,0,14
proyectoD,uy.edu.curso,Nodo,0,22,0,0,0,10,0,5,0,5
